text,date,sender,clean_text
"⭐️⭐️New Arrival ⭐️⭐️
🔥Imported shoes 🔥
💰Price 6,999birr 💰 
Contact @shegershoes101 @Shegershoes202 
📍Bole behind sheger building on the building with dashen bank 1st floor
☎️ 0988001111 or 0987001111",2025-01-14 12:15:36+00:00,shegershoes123,"New Arrival 
Imported shoes 
Price 6999birr  
Contact shegershoes101 Shegershoes202 
Bole behind sheger building on the building with dashen bank 1st floor
 0988001111 or 0987001111"
🎄መልካም የገና በዓል ይሁንላችሁ🎄,2025-01-07 06:38:36+00:00,shegershoes123,መልካም የገና በዓል ይሁንላችሁ
"⭐️⭐️New Arrival ⭐️⭐️
Contact @shegershoes101 @Shegershoes202 
📍Bole behind sheger building on the building with dashen bank 1st floor
📍Jemo 1 kelela building ground floor 
Price 💵 1,599-3,299 birr 💵
☎️ 0988001111 or 0987001111",2025-01-01 10:53:56+00:00,shegershoes123,"New Arrival 
Contact shegershoes101 Shegershoes202 
Bole behind sheger building on the building with dashen bank 1st floor
Jemo 1 kelela building ground floor 
Price  15993299 birr 
 0988001111 or 0987001111"
"⭐️⭐️New Arrival ⭐️⭐️
Contact @shegershoes101 @Shegershoes202 
📍Bole behind sheger building on the building with dashen bank 1st floor
📍Jemo 1 kelela building ground floor 
Price 💵 1,599-3,299 birr 💵
☎️ 0988001111 or 0987001111",2024-12-20 12:34:05+00:00,shegershoes123,"New Arrival 
Contact shegershoes101 Shegershoes202 
Bole behind sheger building on the building with dashen bank 1st floor
Jemo 1 kelela building ground floor 
Price  15993299 birr 
 0988001111 or 0987001111"
"⭐️⭐️New Arrival ⭐️⭐️
Contact @shegershoes101 @Shegershoes202 
📍Bole behind sheger building on the building with dashen bank 1st floor
📍Jemo 1 kelela building ground floor 
Price 💵 1,599-3,299 birr 💵
☎️ 0988001111 or 0987001111",2024-12-05 13:12:03+00:00,shegershoes123,"New Arrival 
Contact shegershoes101 Shegershoes202 
Bole behind sheger building on the building with dashen bank 1st floor
Jemo 1 kelela building ground floor 
Price  15993299 birr 
 0988001111 or 0987001111"
https://t.me/alphamaleclothing,2024-12-05 05:27:27+00:00,shegershoes123,httpstmealphamaleclothing
"⭐️⭐️New Arrival ⭐️⭐️
Contact @shegershoes101 @Shegershoes202 
📍Bole behind sheger building on the building with dashen bank 1st floor
📍Jemo 1 kelela building ground floor 
Price 💵 1,599-3,299 birr 💵
☎️ 0988001111 or 0987001111",2024-11-22 12:31:55+00:00,shegershoes123,"New Arrival 
Contact shegershoes101 Shegershoes202 
Bole behind sheger building on the building with dashen bank 1st floor
Jemo 1 kelela building ground floor 
Price  15993299 birr 
 0988001111 or 0987001111"
"⭐️⭐️New Arrival ⭐️⭐️
Contact @shegershoes101 @Shegershoes202 
📍Bole behind sheger building on the building with dashen bank 1st floor
📍Jemo 1 kelela building ground floor 
Price 💵 1,599-3,299 birr 💵
☎️ 0988001111 or 0987001111",2024-10-16 08:33:31+00:00,shegershoes123,"New Arrival 
Contact shegershoes101 Shegershoes202 
Bole behind sheger building on the building with dashen bank 1st floor
Jemo 1 kelela building ground floor 
Price  15993299 birr 
 0988001111 or 0987001111"
🌼መልካም አዲስ አመት 🌼,2024-09-11 06:56:42+00:00,shegershoes123,መልካም አዲስ አመት 
"⭐️⭐️New Arrival ⭐️⭐️
Contact @shegershoes101 @Shegershoes202 
📍Bole behind sheger building on the building with dashen bank 1st floor
📍Jemo 1 kelela building ground floor 
Price 💵 1,599-3,299 birr 💵
☎️ 0988001111 or 0987001111",2024-09-05 14:15:19+00:00,shegershoes123,"New Arrival 
Contact shegershoes101 Shegershoes202 
Bole behind sheger building on the building with dashen bank 1st floor
Jemo 1 kelela building ground floor 
Price  15993299 birr 
 0988001111 or 0987001111"
"🌼Holiday sale ልዩ የበዓል ቅናሽ🌼
🔥🔥🔥🔥999birr only 🔥🔥🔥
☎️ 0988001111
@shegershoes101 
📍Bole behind sheger building Libanos Building 1st floor shop no 110",2024-09-05 13:18:16+00:00,shegershoes123,"Holiday sale ልዩ የበዓል ቅናሽ
999birr only 
 0988001111
shegershoes101 
Bole behind sheger building Libanos Building 1st floor shop no 110"
